,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,color,msg
0,0.6486,Sat Jun 09 21:45:04 +0000 2018,0.654,0.0,0.346,1,@nytimes,orange,"These sweet, lemony rolls are a fresh alternative to classic cinnamon rolls https://t.co/prmvr6p22Z"
1,-0.2411,Sat Jun 09 21:30:11 +0000 2018,0.906,0.094,0.0,2,@nytimes,orange,"In @NYTOpinion

Sarah Jackson writes, ""Anthony Bourdain was not just curious about food and the world. He was aware… https://t.co/5hEzlnvRuR"
2,0.0,Sat Jun 09 21:15:06 +0000 2018,1.0,0.0,0.0,3,@nytimes,orange,Anthony Bourdain understood that eating was simply a way of taking the world inside you https://t.co/MFUCcrSnln
3,0.0,Sat Jun 09 21:00:09 +0000 2018,1.0,0.0,0.0,4,@nytimes,orange,"A salmonella outbreak has been linked to melons sold at Trader Joe's, Costco, Walgreens and other stores in 8 states https://t.co/OelPlvpK5c"
4,0.0,Sat Jun 09 20:45:08 +0000 2018,1.0,0.0,0.0,5,@nytimes,orange,"With American presidential races requiring an ever-dizzying amount of money, a behind-the-scenes 2020 contest is al… https://t.co/tHOnZLcUXg"
5,0.0,Sat Jun 09 20:37:06 +0000 2018,1.0,0.0,0.0,6,@nytimes,orange,"RT @NYTNational: ⚡️ “Audio Series: ​Charm City”

https://t.co/wY7o7Opy3u"
6,0.0,Sat Jun 09 20:30:05 +0000 2018,1.0,0.0,0.0,7,@nytimes,orange,"Surveillance cameras are an inescapable fixture of the modern city. But in Newark, the police have taken an extraor… https://t.co/lzw2Eo7eCH"
7,-0.6249,Sat Jun 09 20:15:09 +0000 2018,0.788,0.212,0.0,8,@nytimes,orange,We demolish the lame excuses British executives gave for the lack of women on corporate boards. Read the latest Gen… https://t.co/jhJiWjGPGd
8,0.4019,Sat Jun 09 20:00:07 +0000 2018,0.791,0.065,0.144,9,@nytimes,orange,"With Kyrie Irving's popularity has come controversy: He has questioned several times whether the Earth is round, an… https://t.co/XuXD1Q2qPy"
9,-0.2732,Sat Jun 09 19:45:02 +0000 2018,0.829,0.114,0.057,10,@nytimes,orange,"In @NYTOpinion 

Daniel Patterson writes, ""No matter how famous and seemingly unapproachable he became in the world… https://t.co/BQnrKYPvyI"
10,-0.7351,Sat Jun 09 19:30:10 +0000 2018,0.676,0.324,0.0,11,@nytimes,orange,Gun ranges and gun shops in several states have declared themselves “Muslim-free zones.” Several Muslim gun owners… https://t.co/GOwpHFkLks
11,0.8126,Sat Jun 09 19:15:07 +0000 2018,0.709,0.0,0.291,12,@nytimes,orange,"In @NYTOpinion 

Musa Okwonga writes, ""Here we are again on the eve of the planet’s greatest traveling festival: Ye… https://t.co/nBxJnGwvsF"
12,0.0,Sat Jun 09 19:00:09 +0000 2018,1.0,0.0,0.0,13,@nytimes,orange,Have questions about the Belmont Stakes and the Triple Crown? We have your answers. https://t.co/GPu2uPlTRV
13,0.0,Sat Jun 09 18:45:05 +0000 2018,1.0,0.0,0.0,14,@nytimes,orange,“I talk back to people when they say something about me now because I know even with my condition that I am beautif… https://t.co/TJmesUhGTL
14,0.0,Sat Jun 09 18:30:14 +0000 2018,1.0,0.0,0.0,15,@nytimes,orange,Science is taking a back seat in policymaking across the Trump administration. The North Korea nuclear talks offer… https://t.co/hauZtxGqq5
15,0.0,Sat Jun 09 18:15:08 +0000 2018,1.0,0.0,0.0,16,@nytimes,orange,"In his own unorthodox way, Trump has been preparing for this encounter with Kim Jong-Un his entire adult life https://t.co/VlXkCmqssL"
16,0.0,Sat Jun 09 18:00:05 +0000 2018,1.0,0.0,0.0,17,@nytimes,orange,"With his America First agenda, Trump has driven a wedge between the U.S. and its allies, ceding leadership and its… https://t.co/sfyYD4o3hM"
17,0.128,Sat Jun 09 17:50:07 +0000 2018,0.775,0.103,0.122,18,@nytimes,orange,"RT @TheSteinLine: All the tales — legacy, free agency, injury — from what might (or might not) have been LeBron James’ last night as a Clev…"
18,0.0,Sat Jun 09 17:40:03 +0000 2018,1.0,0.0,0.0,19,@nytimes,orange,California has dug in at the front lines of the resistance to President Trump. And then there is Orange County. https://t.co/BSVW14kSmd
19,0.0,Sat Jun 09 17:25:03 +0000 2018,1.0,0.0,0.0,20,@nytimes,orange,"What to watch, what to read and what to listen to by and about Anthony Bourdain https://t.co/TR5noBS7Ee"
20,-0.0772,Sat Jun 09 17:10:03 +0000 2018,0.711,0.151,0.138,21,@nytimes,orange,"Who’s right, Elon Musk or Mark Zuckerberg? Is supersmart artificial intelligence a potential threat to humans, or a… https://t.co/8zay2rbSEG"
21,0.4767,Sat Jun 09 17:00:23 +0000 2018,0.853,0.0,0.147,22,@nytimes,orange,"RT @stanfordc: I’m proud to say that there has never been a swimsuit portion of the news quiz 
https://t.co/e1Z8wlhYvy https://t.co/4YJ7UrG…"
22,0.0,Sat Jun 09 16:45:09 +0000 2018,1.0,0.0,0.0,23,@nytimes,orange,"30 billion gallons of Hawaiian lava, as seen from the ground and space https://t.co/vz9qQOCYS9"
23,0.2732,Sat Jun 09 16:30:07 +0000 2018,0.741,0.107,0.152,24,@nytimes,orange,She wanted to celebrate their marriage in lavish style. He had something less lofty in mind. A lovers’ battle ensue… https://t.co/RnvIaxRtRP
24,-0.5994,Sat Jun 09 16:15:02 +0000 2018,0.813,0.187,0.0,25,@nytimes,orange,"Anthony Bourdain's sudden death at Le Chambard, a hotel in the village of Kaysersberg in northeastern France, sent… https://t.co/V5gRoZKGQN"
25,0.743,Sat Jun 09 16:01:00 +0000 2018,0.704,0.0,0.296,26,@nytimes,orange,"@jimdwyernyt ""The supply of excellent schools cannot meet the demands of capable students, whatever their backgroun… https://t.co/KF39XvdUjJ"
26,0.3612,Sat Jun 09 15:58:00 +0000 2018,0.872,0.0,0.128,27,@nytimes,orange,"@jimdwyernyt The specialized schools are far from bastions of privilege, dominated by immigrants or the children of… https://t.co/DWOoiPghSz"
27,0.3612,Sat Jun 09 15:55:03 +0000 2018,0.884,0.0,0.116,28,@nytimes,orange,"In New York’s ragged history of race, class, privilege and equity, the city’s specialized high schools have long be… https://t.co/HL2yw2JmHz"
28,-0.7269,Sat Jun 09 15:41:58 +0000 2018,0.747,0.253,0.0,29,@nytimes,orange,Breaking News: President Trump threatened to end trade with G-7 nations that he said use unfair practices. “We’re l… https://t.co/uI5rOmZ76O
29,0.2023,Sat Jun 09 15:32:50 +0000 2018,0.847,0.0,0.153,30,@nytimes,orange,"Flaky mounds of quick bread, golden brown, with a significant crumb https://t.co/wbMRgvySpY"
30,0.6369,Sat Jun 09 15:16:31 +0000 2018,0.669,0.092,0.239,31,@nytimes,orange,Breaking News: Simona Halep of Romania beat Sloane Stephens to win the French Open. It was the first Grand Slam tit… https://t.co/3sFwWkJ353
31,0.7269,Sat Jun 09 15:05:06 +0000 2018,0.711,0.0,0.289,32,@nytimes,orange,Her $1 million gift left educators asking: How was one teacher able to save so much money?https://t.co/Vv8fhgbwWA
32,-0.875,Sat Jun 09 14:51:21 +0000 2018,0.679,0.321,0.0,33,@nytimes,orange,"If you or someone else you know is having thoughts of suicide, call the National Suicide Prevention Lifeline at 1-8… https://t.co/5kOUYV8c3u"
33,-0.6705,Sat Jun 09 14:50:03 +0000 2018,0.809,0.191,0.0,34,@nytimes,orange,New federal data shows that suicide rates have been increasing for years in almost every state and across demograph… https://t.co/g6znmjYQl5
34,-0.0258,Sat Jun 09 14:37:50 +0000 2018,0.723,0.14,0.136,35,@nytimes,orange,"After failing to repeal the Affordable Care Act, the Trump administration is seizing on a different strategy for di… https://t.co/Low8zwBsVL"
35,0.5106,Sat Jun 09 14:36:39 +0000 2018,0.845,0.0,0.155,36,@nytimes,orange,"Our experts weighed in on the contenders, including the Triple Crown hopeful Justify, for the 150th Belmont Stakes https://t.co/xi9TIoAxWb"
36,0.0,Sat Jun 09 14:20:07 +0000 2018,1.0,0.0,0.0,37,@nytimes,orange,"RT @NYTMetro: “This is the deportation machine in full effect, and everyone should wake up to how American citizens and their families are…"
37,0.6369,Sat Jun 09 14:02:25 +0000 2018,0.84,0.0,0.16,38,@nytimes,orange,"RT @caityweaver: The strangest and best recommendation I will ever make to you is: Listen to the same 4 podcast appearances by ""Sex and the…"
38,-0.296,Sat Jun 09 13:43:12 +0000 2018,0.864,0.136,0.0,39,@nytimes,orange,Pope Tells Oil Executives to Act on Climate: ‘There Is No Time to Lose’ https://t.co/jpXdOMmBOf
